"session","created","modified","ended","expired","time_0b_start","plan_bev","mc_bev_make","mc_bev_audi","mc_bev_bmw","mc_bev_cadillac","mc_bev_chevrolet","mc_bev_fiat","mc_bev_ford","mc_bev_genesis","mc_bev_gmc","mc_bev_honda","mc_bev_hyundai","mc_bev_jaguar","mc_bev_kia","mc_bev_lexus","mc_bev_lucid","mc_bev_mazda","mc_bev_mercedes_benz","mc_bev_mini","mc_bev_mitsubishi","mc_bev_nissan","mc_bev_polestar","mc_bev_porsche","mc_bev_rivian","mc_bev_subaru","mc_bev_tesla","mc_bev_toyota","mc_bev_vin_fast","mc_bev_volkswagen","mc_bev_volvo","mc_bev_year","user_model","user_bev","time_0b_end"
"onvFd_p_6zUhDG9ryi9qbML22GDlj_d3f9pg4oOcR7pTl9GJ4TWHZsKxO4vP9LKS","2024-03-09 20:51:18","2024-03-09 20:51:28","2024-03-09 20:51:29","","2024-03-09 20:51:18","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-09 20:51:28"
"rzanzSEqJHCBa1e42jbk-MuiQEwV5wsKvIStL-HIaLTp7XEUdOyn_DT7TmWOArSp","2024-03-09 23:53:42","2024-03-09 23:53:58","2024-03-09 23:53:59","","2024-03-09 23:53:42","yes","tesla","","","","","","","","","","","","","","","","","","","","","","","","model_x","","","","","2023","model_x","tesla_model_x","2024-03-09 23:53:59"
"EXvFkQub2FANQnHA0K3yWOBjlAebsOaZEVaXVahJVI96lBaGp_CFxtfodp_sa-zd","2024-03-09 23:54:52","","","","2024-03-09 23:54:52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9gCwKQe7B2lCZBUqXkJ8EpD3hELRRQOqfZgRNEO9x0_CAQi5qtu9-ExNoDmI62k6","2024-03-10 02:11:14","2024-03-10 02:11:49","2024-03-10 02:11:50","","2024-03-10 02:11:14","yes","tesla","","","","","","","","","","","","","","","","","","","","","","","","model_3","","","","","2023","model_3","tesla_model_3","2024-03-10 02:11:49"
"njBrTvpf10aJPmshjzU1jabZoYrGLk5MTcMhcFnB-dmsM5r4IXSwPKCbN1-ltn_d","2024-03-10 17:33:45","2024-03-10 17:34:05","2024-03-10 17:34:05","","2024-03-10 17:33:45","yes","nissan","","","","","","","","","","","","","","","","","","","ariya","","","","","","","","","","2023","ariya","nissan_ariya","2024-03-10 17:34:05"
"nsNoa6abrDSPg6DBso_0o3GWMRnSVLSCGqpPbz8CywTILT8sx7vkUFSkB_Pxk98m","2024-03-10 18:33:55","2024-03-10 18:34:41","2024-03-10 18:34:42","","2024-03-10 18:33:55","yes","nissan","","","","","","","","","","","","","","","","","","","leaf","","","","","","","","","","2024","leaf","nissan_leaf","2024-03-10 18:34:41"
"FBNJ0XJZaTnNrjP0s2jLlFtfFLR83ENMhuGjT5gBr9Wq3HLc6JStUP5SCaV5IuQh","2024-03-10 19:08:17","2024-03-10 19:08:26","2024-03-10 19:08:26","","2024-03-10 19:08:17","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-10 19:08:26"
"-g5SOwSZzGy4CxUP35NgTBAaeNy4JkpsqBrDQjJh6L8pZs4x5Plmi92UZCwtAerL","2024-03-10 19:56:02","2024-03-10 19:56:10","2024-03-10 19:56:10","","2024-03-10 19:56:02","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-10 19:56:10"
"5JJOZ69HCzUzZ-zQq6HHLHYBNVz0PmlMRCDY3qNp23NuTdcz2aXJpIbdjpMtaATG","2024-03-10 20:10:45","2024-03-10 20:10:57","2024-03-10 20:10:57","","2024-03-10 20:10:45","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-10 20:10:57"
"Ufpua2PkgTiXNGMAqRApF3yk8z2ixzSARWKQcRJrs5RIiUyE-fP381zxkM-FDxGb","2024-03-10 20:40:11","2024-03-10 20:40:20","2024-03-10 20:40:21","","2024-03-10 20:40:11","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-10 20:40:20"
"y1xDOyNH8aFv2rEK-iTGgVSfTjGuWUHWvCM15Zw8SrZboQP8SNIYkuWDyNOhW6rO","2024-03-10 22:35:16","2024-03-10 22:35:50","2024-03-10 22:35:50","","2024-03-10 22:35:17","yes","tesla","","","","","","","","","","","","","","","","","","","","","","","","model_x","","","","","idk","model_x","tesla_model_x","2024-03-10 22:35:50"
"Mdvm6OBlKV3dYHrRsiAHxzPRxKoPtWM0zGlkO0aReyOPU8yfvKhV4ZanJx26c4OP","2024-03-10 23:15:12","2024-03-10 23:15:19","2024-03-10 23:15:20","","2024-03-10 23:15:12","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-10 23:15:20"
"O1kLj350Kr4yE4i9ZHWp6ijCKdPMTMDMheO2Bsa_EgpxOCjBxBnmM8uCJyxL-O81","2024-03-11 00:36:37","2024-03-11 00:36:42","2024-03-11 00:36:44","","2024-03-11 00:36:39","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-11 00:36:44"
"uzQ-jMECblK60rMGciqDZD4A0kYBf0mmXTEcjxdQX4AhctK7igyr_uvSQH6boZt0","2024-03-11 00:49:20","2024-03-11 00:49:30","2024-03-11 00:49:33","","2024-03-11 00:49:22","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-11 00:49:32"
"0EAUpV2W0NzgQSuyJkiryuGSOkJvsDFgaIunWCouz3ommdy05TReC4IOI1JcF3t-","2024-03-11 00:52:05","2024-03-11 00:52:12","2024-03-11 00:52:15","","2024-03-11 00:52:06","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-11 00:52:15"
"TeNKeFXofYuY4JQXbsKOkmbk27QqD_HuH0F790r5ZVLp-H5p7KqNEyNEOY24QRQS","2024-03-11 00:56:07","2024-03-11 00:56:17","2024-03-11 00:56:19","","2024-03-11 00:56:08","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-11 00:56:19"
"V55k348Z2KGvQI7dpiwf8x4eWXHUBDXCn4_RNFsrdrreiX0uKGovDiUZD85-avrQ","2024-03-11 01:16:51","2024-03-11 01:16:59","2024-03-11 01:17:02","","2024-03-11 01:16:53","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-11 01:17:02"
"j6GgEHk3RVEQADlk422JY2g0Nm8DC-Ok-Wxi0YT2JPrgmPmAF1MNVpanikz0Ts-_","2024-03-11 01:24:59","2024-03-11 01:25:10","2024-03-11 01:25:13","","2024-03-11 01:25:00","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-11 01:25:12"
